,distance,neighbors
0,0.0,16
1,1.1749867865725385,17
2,1.734882415224783,15
3,2.096243870736429,14
4,2.311063186243725,18
5,3.1127294698014114,13
6,3.4250233372158494,19
7,4.045774762779879,20
8,4.156033477488647,12
9,5.137623600148432,11
10,5.14801641818105,21
11,6.040936365304507,10
12,6.222124335022639,22
13,7.125371928279503,9
14,7.165206109101701,23
15,8.092223894248761,8
16,8.195136721534872,24
17,9.132839682532024,25
18,9.148248925920683,7
19,10.084798026622297,6
20,10.140031229287064,26
